family,family_name,prior_status,prior_evidence,prior_coverage,new_work,new_outputs,remaining_limits
11,Permutation bootstrap and QAP,Partly covered,Konbaung_46_Episode_Statistical_Evidence.zip!/Konbaung_46_Episode_Statistical_Evidence/results/corpus_clustering_permutations.csv | Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/community_block_bootstrap.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/06_OUTPUTS/extension/title_semantic_grammar_permutation.csv,"Extensive page/reign permutations, circular shifts, bootstraps and BH correction existed.","Layer QAP, residual-permutation multiple-matrix QAP, degree/predicate nulls and page bootstrap for new layer effects.",results/02_layer_qap.csv;results/03_semantic_structure_qap.csv;results/06_layer_bootstrap_intervals.csv,Empirical p-value floors and the family of corrected comparisons are documented.
12,Mixing and assortativity,Partly covered,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/03_BASE_STATISTICAL_ANALYSIS/06_REPRODUCED_OUTPUTS/contingency_actor_by_status_event_mode.csv | Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/02_ARCHIVED_RAW_RESULTS/actor_relation_profiles.csv,Category participation and selected categorical associations existed.,"Full category mixing tensor, conditional endpoint randomization and degree assortativity diagnostics.",results/01_observed_and_expected.npz;results/01_conditional_permutation.json;results/07_topology_supplement.json,Shared analytical category is not necessarily shared social identity; no claim of individual homophily.
13,Brokerage and structural holes,Not found as formal measures,,Historical discussion of intermediaries was present; formal Burt or G-F calculations were not found.,"Burt constraint/effective size, brokerage centrality, and five G-F brokerage roles with explicit analyst groups.",results/07_brokerage_centrality.csv;results/07_gould_fernandez_brokerage.csv,"These measures describe category connectivity, not a measured monopoly held by a person."
14,Hierarchy and core periphery,Partly covered,Konbaung_Power_Relations_Evidence_Package.zip!/Konbaung_Power_Relations_Evidence_Package/02_ARCHIVED_RAW_RESULTS/actor_credential_capacity_profiles.csv | Konbaung_Reproduction_Package.zip!/repro/src/01_spatial_core_periphery.py,"Agency concentration, credential/capacity ratios and a geographic core/frontier comparison existed.","Flow/reachability hierarchy, generalized trophic levels, cores/shells, rich-club and nestedness diagnostics; SBM.",results/02_layer_statistics.csv;results/07_trophic_levels.csv;results/07_rich_club.csv;results/07_hierarchy_scope.json,No calibrated dominance ranking; geographic core/periphery is not graph core/periphery.
15,Frequent subgraph pattern mining,Partly covered,Konbaung_Chat_Analysis_Reproducibility (1).zip!/Konbaung_Chat_Analysis_Reproducibility/results/01_strict_relation_cliques/strict_named_cluster_membership.csv,"Relation cliques and narrative pattern inventories existed, not unrestricted labelled endpoint subgraph mining.","Exact-tag page-scoped frequent edges, outgoing relation forks and length-two labelled paths; small closed patterns via rule supports.",results/04_frequent_paths.csv;results/04_frequent_outgoing_relation_pairs.csv;results/04_length2_horn_rules.csv,No exhaustive closed/maximal general-subgraph miner; node identity is not asserted across pages.
16,Logical and association rules,Not found,,No AMIE-style grounded triple rules with support/head coverage/confidence located.,"One-body-edge and two-edge Horn rules with standard/PCA confidence, head coverage and page holdout.",results/04_single_edge_rules.csv;results/04_length2_horn_rules.csv,"Custom bounded rule enumeration, not a run of AMIE itself. Low support and weak holdout results are retained."
17,Temporal networks,Partly covered as narrative order,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/09_ENTITY_RESOLUTION_ANALYSIS/04_OUTPUTS/reign_personnel_turnover_by_resolution_spec.csv | Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/page_chronology_full.csv,"Reign personnel turnover, chronological composition, page-window order and circular-shift tests existed.",Additional reign-level S-P-O comparison and reign tensor; no event-time paths claimed.,results/06_adjacent_reign_tensor_comparison.csv,Validated event timestamps and within-sentence event order are absent. Page order includes retrospect and is not elapsed time.
18,Relational event models,Not found,,Page-window associations and pre/post activity are not REM likelihood fits.,Not fitted to historical events.,results/06_scope.json,"Needs defensible event order, actor identities and a defined set of possible next events. Extraction order and narrative pages cannot supply those without historical annotation."
19,Survival and event history,Not found,,Career span in pages is not duration in office. Earlier pre/post activation was withdrawn.,Not fitted.,results/06_scope.json,"No validated office spells, dates of entry/exit, right censoring or population at risk; Kaplan-Meier/Cox estimates would imply unsupported exposure."
20,Dynamic network models,Partly covered descriptively,Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/page_chronology_full.csv | Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/community_stability_summary.csv,Narrative composition changes and community stability existed; no historical TERGM/SAOM/dynamic SBM located.,Reign-segment distribution comparisons and four-mode factors.,results/06_adjacent_reign_tensor_comparison.csv;results/03_reign_cp_loadings.csv,Chronicle mentions are not repeated complete network states. No process model fitted.
21,Tensor through time,Not found,,Separate reign frequency charts are not four-mode tensor models.,Five-component nonnegative subject-relation-object-reign tensor normalized per 1000 claims within segment.,results/03_reign_cp_loadings.csv;results/03_reign_cp_fit.json,"The fourth mode is 12 narrative reign/crisis segments, not dated event time. No causal temporal factor dynamics claimed."
22,Text and graph,Already extensively covered,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/04_SCRIPTS/relation_embedding_analysis_v3.py | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/06_OUTPUTS/extension/title_semantic_grammar_permutation.csv | Konbaung_Reproduction_Package.zip!/repro/src/03_burmese_royal_marking.py,"Burmese honorific/morphological tests, predicate formulaicity, lexical/context analysis and Gemini semantic structure existed.","Base/context/fused semantic-to-endpoint-structure QAP, within-domain and frequency/shared-predicate controls.",results/03_semantic_structure_qap.csv;results/03_semantic_structure_pairs.csv,"Context embeddings include the same Burmese/English source context; agreement is internal consistency, not independent validation."
23,Spatial networks,Partly covered,Konbaung_Reproduction_Package.zip!/repro/src/01_spatial_core_periphery.py | Konbaung_Reproduction_Package.zip!/repro/src/02_gradient_interaction.py,A transparent place-string gazetteer and core/province/frontier agency tests already existed.,No coordinate model added.,,No validated coordinates linked to the canonical entity/mention graph. Moran/Geary/gravity/distance/physical-flow models need geolocation and an explicit spatial weights/risk-set definition.
24,Robustness and measurement uncertainty,Already extensively covered,Konbaung_Complete_Narrative_Analysis.zip!/Konbaung_Narrative_Atlas_Complete/results/community_block_bootstrap.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/08_NEW_STRUCTURAL_AUDITS/07_INDEPENDENT_AUDIT/custom_audit_outputs/gee_sensitivity.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/09_ENTITY_RESOLUTION_ANALYSIS/04_OUTPUTS/title_concentration_chronology_sensitivity.csv,"Sentence/page/reign controls, density matching, semantic/category/identity/window alternatives, manual source corrections and FDR existed.","New page bootstraps, king/status/register exclusions, CP seed and label-null sensitivity, numerical/source invariants.",results/06_layer_bootstrap_intervals.csv;results/06_tensor_component_stability.csv;results/09_category_conditioned_chain_null.csv,No calibrated triple extraction confidence or independent full-corpus reliability sample is available for confidence weighting/posterior measurement-error models.
25,Comparative networks,Partly covered,Konbaung_Chronological_Trends_Evidence.zip!/Konbaung_Chronological_Trends_Evidence/results/relation_by_reign.csv | Konbaung_Chronological_Trends_Evidence.zip!/Konbaung_Chronological_Trends_Evidence/results/reign_trend_permutation_tests.csv | Konbaung_Reproduction_Package.zip!/repro/src/01_spatial_core_periphery.py,"Reign composition, core/frontier comparisons and trend/permutation tests existed.","Layer topology comparison, QAP coupling, whole S-P-O adjacent-reign JS divergence with page permutations.",results/02_layer_statistics.csv;results/06_adjacent_reign_tensor_comparison.csv,Corpus attention and exposure differ across reigns; null results for small segments are reported.
26,Predictive representation learning,Partly covered,Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/06_OUTPUTS/tables/title_embedding_classifier_summary.csv | Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED (2).zip!/Konbaung_Status_Power_FINAL_Statistical_Reproducibility_UPDATED/04_EMBEDDING_ANALYSIS/04_SCRIPTS/relation_embedding_analysis_v3.py,"Gemini vectors, nearest neighbors, semantic communities and title classifiers existed. These are not trained graph embeddings.",DistMult and ComplEx with disjoint category-fact train/validation/test sets and a frequency baseline.,results/08_link_prediction.csv;results/08_training_trace.csv,"No TransE/RotatE/GNN/DeepWalk benchmark. The two added predictors underperform the simple baseline, so no missing historical facts are imputed."
